comicsNumberInPages,comicsID,comicsName,comicsLink,comicsCover
1,10-years-to-death-2021,10 Years to Death (2021),https://readcomicsonline.ru/comic/10-years-to-death-2021,https://readcomicsonline.ru/uploads/manga/10-years-to-death-2021/cover/cover_250x350.jpg
2,1000-storms-2021,1000 Storms (2021-),https://readcomicsonline.ru/comic/1000-storms-2021,https://readcomicsonline.ru/uploads/manga/1000-storms-2021/cover/cover_250x350.jpg
3,1001-arabian-nights-the-adventures-of-sinbad-2009,1001 Arabian Nights: The Adventures of Sinbad (2009-),https://readcomicsonline.ru/comic/1001-arabian-nights-the-adventures-of-sinbad-2009,https://readcomicsonline.ru/uploads/manga/1001-arabian-nights-the-adventures-of-sinbad-2009/cover/cover_250x350.jpg
4,1984-the-graphic-novel-2021,1984: The Graphic Novel (2021),https://readcomicsonline.ru/comic/1984-the-graphic-novel-2021,https://readcomicsonline.ru/uploads/manga/1984-the-graphic-novel-2021/cover/cover_250x350.jpg
5,1985-black-hole-repo-2017,1985: Black Hole Repo (2017),https://readcomicsonline.ru/comic/1985-black-hole-repo-2017,https://readcomicsonline.ru/uploads/manga/1985-black-hole-repo-2017/cover/cover_250x350.jpg
6,2000-ad,2000 AD,https://readcomicsonline.ru/comic/2000-ad,https://readcomicsonline.ru/uploads/manga/2000-ad/cover/cover_250x350.jpg
7,2000ad-judge-dredd-celebrating-40-years,2000AD Judge Dredd Celebrating 40 Years,https://readcomicsonline.ru/comic/2000ad-judge-dredd-celebrating-40-years,https://readcomicsonline.ru/uploads/manga/2000ad-judge-dredd-celebrating-40-years/cover/cover_250x350.jpg
8,2000ad-scifi-special-2020,2000AD Sci-Fi Special (2020),https://readcomicsonline.ru/comic/2000ad-scifi-special-2020,https://readcomicsonline.ru/uploads/manga/2000ad-scifi-special-2020/cover/cover_250x350.jpg
9,2000ad-scifi-special-2021,2000AD Sci-Fi Special (2021),https://readcomicsonline.ru/comic/2000ad-scifi-special-2021,https://readcomicsonline.ru/uploads/manga/2000ad-scifi-special-2021/cover/cover_250x350.jpg
10,2000ad-summer-scifi-special-2022-2022,2000AD Summer Sci-Fi Special 2022 (2022),https://readcomicsonline.ru/comic/2000ad-summer-scifi-special-2022-2022,https://readcomicsonline.ru/uploads/manga/2000ad-summer-scifi-special-2022-2022/cover/cover_250x350.jpg
11,2000ad-villains-special-2020,2000AD Villains Special (2020),https://readcomicsonline.ru/comic/2000ad-villains-special-2020,https://readcomicsonline.ru/uploads/manga/2000ad-villains-special-2020/cover/cover_250x350.jpg
12,2020-force-works-2020,2020 Force Works (2020),https://readcomicsonline.ru/comic/2020-force-works-2020,https://readcomicsonline.ru/uploads/manga/2020-force-works-2020/cover/cover_250x350.jpg
13,2020-iron-age-2020,2020 Iron Age (2020-),https://readcomicsonline.ru/comic/2020-iron-age-2020,https://readcomicsonline.ru/uploads/manga/2020-iron-age-2020/cover/cover_250x350.jpg
14,2020-ironheart-2020,2020 Ironheart (2020),https://readcomicsonline.ru/comic/2020-ironheart-2020,https://readcomicsonline.ru/uploads/manga/2020-ironheart-2020/cover/cover_250x350.jpg
15,2020-iwolverine-2020,2020 iWolverine (2020),https://readcomicsonline.ru/comic/2020-iwolverine-2020,https://readcomicsonline.ru/uploads/manga/2020-iwolverine-2020/cover/cover_250x350.jpg
16,2020-machine-man-2020,2020 Machine Man (2020),https://readcomicsonline.ru/comic/2020-machine-man-2020,https://readcomicsonline.ru/uploads/manga/2020-machine-man-2020/cover/cover_250x350.jpg
17,2020-rescue-2020,2020 Rescue (2020),https://readcomicsonline.ru/comic/2020-rescue-2020,https://readcomicsonline.ru/uploads/manga/2020-rescue-2020/cover/cover_250x350.jpg
18,2099-alpha-2019,2099 Alpha (2019),https://readcomicsonline.ru/comic/2099-alpha-2019,https://readcomicsonline.ru/uploads/manga/2099-alpha-2019/cover/cover_250x350.jpg
19,2099-omega-2019,2099 Omega (2019),https://readcomicsonline.ru/comic/2099-omega-2019,https://readcomicsonline.ru/uploads/manga/2099-omega-2019/cover/cover_250x350.jpg
20,20th-century-men-2022,20th Century Men (2022-),https://readcomicsonline.ru/comic/20th-century-men-2022,https://readcomicsonline.ru/uploads/manga/20th-century-men-2022/cover/cover_250x350.jpg
21,20xx-2019,20XX (2019-),https://readcomicsonline.ru/comic/20xx-2019,https://readcomicsonline.ru/uploads/manga/20xx-2019/cover/cover_250x350.jpg
22,20xx-transport-2022,20XX: Transport (2022-),https://readcomicsonline.ru/comic/20xx-transport-2022,https://readcomicsonline.ru/uploads/manga/20xx-transport-2022/cover/cover_250x350.jpg
23,24-legacy-rules-of-engagement-2017,24 Legacy Rules Of Engagement (2017),https://readcomicsonline.ru/comic/24-legacy-rules-of-engagement-2017,https://readcomicsonline.ru/uploads/manga/24-legacy-rules-of-engagement-2017/cover/cover_250x350.jpg
24,24-panels-2022,24 Panels (2022),https://readcomicsonline.ru/comic/24-panels-2022,https://readcomicsonline.ru/uploads/manga/24-panels-2022/cover/cover_250x350.jpg
25,3-floyds-alpha-king-2016,3 Floyds: Alpha King (2016),https://readcomicsonline.ru/comic/3-floyds-alpha-king-2016,https://readcomicsonline.ru/uploads/manga/3-floyds-alpha-king-2016/cover/cover_250x350.jpg
26,30-days-of-night-2017,30 Days Of Night (2017-),https://readcomicsonline.ru/comic/30-days-of-night-2017,https://readcomicsonline.ru/uploads/manga/30-days-of-night-2017/cover/cover_250x350.jpg
27,3keys-2022,3Keys (2022-),https://readcomicsonline.ru/comic/3keys-2022,https://readcomicsonline.ru/uploads/manga/3keys-2022/cover/cover_250x350.jpg
